icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0000168329CK1A8,251140160,1,02/07/2024 08:00,02/07/2024 08:29,0.363,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 08:30,02/07/2024 08:59,0.810,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 09:00,02/07/2024 09:29,0.447,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 09:30,02/07/2024 09:59,0.257,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 10:00,02/07/2024 10:29,0.236,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 10:30,02/07/2024 10:59,1.020,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 11:00,02/07/2024 11:29,1.697,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 11:30,02/07/2024 11:59,1.387,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 12:00,02/07/2024 12:29,1.709,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 12:30,02/07/2024 12:59,1.505,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 13:00,02/07/2024 13:29,1.195,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 13:30,02/07/2024 13:59,1.179,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 14:00,02/07/2024 14:29,0.735,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 14:30,02/07/2024 14:59,1.015,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 15:00,02/07/2024 15:29,1.941,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 15:30,02/07/2024 15:59,0.438,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 16:00,02/07/2024 16:29,0.889,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 16:30,02/07/2024 16:59,0.306,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 17:00,02/07/2024 17:29,0.236,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 17:30,02/07/2024 17:59,0.236,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 18:00,02/07/2024 18:29,0.299,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 18:30,02/07/2024 18:59,1.107,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 19:00,02/07/2024 19:29,1.772,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 19:30,02/07/2024 19:59,1.603,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 20:00,02/07/2024 20:29,0.347,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 20:30,02/07/2024 20:59,0.347,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 21:00,02/07/2024 21:29,0.355,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 21:30,02/07/2024 21:59,0.335,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 22:00,02/07/2024 22:29,0.300,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 22:30,02/07/2024 22:59,0.298,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 23:00,02/07/2024 23:29,0.287,kWh,validated
0000168329CK1A8,251140160,1,02/07/2024 23:30,02/07/2024 23:59,0.806,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 00:00,03/07/2024 00:29,0.262,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 00:30,03/07/2024 00:59,0.237,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 01:00,03/07/2024 01:29,0.255,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 01:30,03/07/2024 01:59,0.246,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 02:00,03/07/2024 02:29,0.244,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 02:30,03/07/2024 02:59,0.240,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 03:00,03/07/2024 03:29,0.254,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 03:30,03/07/2024 03:59,0.264,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 04:00,03/07/2024 04:29,0.238,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 04:30,03/07/2024 04:59,0.253,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 05:00,03/07/2024 05:29,0.270,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 05:30,03/07/2024 05:59,0.289,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 06:00,03/07/2024 06:29,0.702,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 06:30,03/07/2024 06:59,0.255,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 07:00,03/07/2024 07:29,0.243,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 07:30,03/07/2024 07:59,0.592,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 08:00,03/07/2024 08:29,0.590,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 08:30,03/07/2024 08:59,0.726,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 09:00,03/07/2024 09:29,0.903,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 09:30,03/07/2024 09:59,0.493,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 10:00,03/07/2024 10:29,0.967,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 10:30,03/07/2024 10:59,1.399,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 11:00,03/07/2024 11:29,0.436,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 11:30,03/07/2024 11:59,0.353,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 12:00,03/07/2024 12:29,0.369,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 12:30,03/07/2024 12:59,0.319,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 13:00,03/07/2024 13:29,0.805,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 13:30,03/07/2024 13:59,0.789,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 14:00,03/07/2024 14:29,0.229,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 14:30,03/07/2024 14:59,0.182,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 15:00,03/07/2024 15:29,0.163,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 15:30,03/07/2024 15:59,0.643,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 16:00,03/07/2024 16:29,0.299,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 16:30,03/07/2024 16:59,0.455,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 17:00,03/07/2024 17:29,0.571,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 17:30,03/07/2024 17:59,0.222,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 18:00,03/07/2024 18:29,0.239,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 18:30,03/07/2024 18:59,0.743,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 19:00,03/07/2024 19:29,0.261,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 19:30,03/07/2024 19:59,0.832,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 20:00,03/07/2024 20:29,1.422,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 20:30,03/07/2024 20:59,1.411,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 21:00,03/07/2024 21:29,1.403,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 21:30,03/07/2024 21:59,1.478,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 22:00,03/07/2024 22:29,0.584,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 22:30,03/07/2024 22:59,0.783,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 23:00,03/07/2024 23:29,1.421,kWh,validated
0000168329CK1A8,251140160,1,03/07/2024 23:30,03/07/2024 23:59,0.737,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 00:00,04/07/2024 00:29,0.230,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 00:30,04/07/2024 00:59,0.635,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 01:00,04/07/2024 01:29,0.950,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 01:30,04/07/2024 01:59,0.303,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 02:00,04/07/2024 02:29,0.477,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 02:30,04/07/2024 02:59,0.214,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 03:00,04/07/2024 03:29,0.213,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 03:30,04/07/2024 03:59,0.206,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 04:00,04/07/2024 04:29,0.233,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 04:30,04/07/2024 04:59,0.270,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 05:00,04/07/2024 05:29,0.248,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 05:30,04/07/2024 05:59,0.233,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 06:00,04/07/2024 06:29,0.395,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 06:30,04/07/2024 06:59,0.634,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 07:00,04/07/2024 07:29,0.389,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 07:30,04/07/2024 07:59,0.364,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 08:00,04/07/2024 08:29,0.322,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 08:30,04/07/2024 08:59,0.337,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 09:00,04/07/2024 09:29,0.275,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 09:30,04/07/2024 09:59,0.279,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 10:00,04/07/2024 10:29,0.325,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 10:30,04/07/2024 10:59,0.233,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 11:00,04/07/2024 11:29,0.247,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 11:30,04/07/2024 11:59,0.208,kWh,validated
0000168329CK1A8,251140160,1,04/07/2024 12:00,04/07/2024 12:29,0.230,kWh,validated
